Time[s], Channel 0, Channel 1, Channel 2, Channel 3, Channel 4, Channel 5, Channel 6, Channel 7
0.000000000000000, 1, 1, 1, 1, 1, 1, 1, 1
5.413737791666667, 1, 0, 1, 1, 1, 1, 1, 1
5.413742833333334, 1, 0, 0, 1, 1, 1, 1, 1
5.413747666666667, 1, 1, 0, 1, 1, 1, 1, 1
5.413752208333333, 1, 1, 1, 1, 1, 1, 1, 1
5.413757166666667, 1, 1, 0, 1, 1, 1, 1, 1
5.413757458333333, 1, 0, 0, 1, 1, 1, 1, 1
5.413762333333334, 1, 0, 1, 1, 1, 1, 1, 1
5.413767166666667, 1, 0, 0, 1, 1, 1, 1, 1
5.413767583333334, 1, 1, 0, 1, 1, 1, 1, 1
5.413772250000000, 1, 1, 1, 1, 1, 1, 1, 1
5.413777166666667, 1, 1, 0, 1, 1, 1, 1, 1
5.413782250000001, 1, 1, 1, 1, 1, 1, 1, 1
5.413787166666667, 1, 1, 0, 1, 1, 1, 1, 1
5.413787500000001, 1, 0, 0, 1, 1, 1, 1, 1
5.413792333333333, 1, 0, 1, 1, 1, 1, 1, 1
5.413797166666667, 1, 0, 0, 1, 1, 1, 1, 1
5.413797583333333, 1, 1, 0, 1, 1, 1, 1, 1
5.413802291666667, 1, 1, 1, 1, 1, 1, 1, 1
5.413807166666667, 1, 1, 0, 1, 1, 1, 1, 1
5.413807500000001, 1, 0, 0, 1, 1, 1, 1, 1
5.413812333333333, 1, 0, 1, 1, 1, 1, 1, 1
5.413817166666667, 1, 0, 0, 1, 1, 1, 1, 1
5.413822333333334, 1, 0, 1, 1, 1, 1, 1, 1
5.413827208333334, 1, 0, 0, 1, 1, 1, 1, 1
5.413827625000001, 1, 1, 0, 1, 1, 1, 1, 1
5.413830083333334, 1, 0, 0, 1, 1, 1, 1, 1
5.413832333333334, 1, 0, 1, 1, 1, 1, 1, 1
5.413837208333334, 1, 0, 0, 1, 1, 1, 1, 1
5.413838916666667, 1, 1, 0, 1, 1, 1, 1, 1
5.413842666666667, 1, 0, 0, 1, 1, 1, 1, 1
5.413847541666667, 1, 0, 1, 1, 1, 1, 1, 1
5.413852416666667, 1, 0, 0, 1, 1, 1, 1, 1
5.413857583333334, 1, 0, 1, 1, 1, 1, 1, 1
5.413862416666667, 1, 0, 0, 1, 1, 1, 1, 1
5.413862833333334, 1, 1, 0, 1, 1, 1, 1, 1
5.413867500000000, 1, 1, 1, 1, 1, 1, 1, 1
5.413872416666667, 1, 1, 0, 1, 1, 1, 1, 1
5.413872708333334, 1, 0, 0, 1, 1, 1, 1, 1
5.413877583333334, 1, 0, 1, 1, 1, 1, 1, 1
5.413882416666667, 1, 0, 0, 1, 1, 1, 1, 1
5.413887583333334, 1, 0, 1, 1, 1, 1, 1, 1
5.413892416666667, 1, 0, 0, 1, 1, 1, 1, 1
5.413892833333334, 1, 1, 0, 1, 1, 1, 1, 1
5.413897541666667, 1, 1, 1, 1, 1, 1, 1, 1
5.413902416666667, 1, 1, 0, 1, 1, 1, 1, 1
5.413902750000000, 1, 0, 0, 1, 1, 1, 1, 1
5.413907583333334, 1, 0, 1, 1, 1, 1, 1, 1
5.413912416666667, 1, 0, 0, 1, 1, 1, 1, 1
5.413917625000001, 1, 0, 1, 1, 1, 1, 1, 1
5.413922458333333, 1, 0, 0, 1, 1, 1, 1, 1
5.413922875000000, 1, 1, 0, 1, 1, 1, 1, 1
5.413924750000001, 1, 0, 0, 1, 1, 1, 1, 1
5.413927583333334, 1, 0, 1, 1, 1, 1, 1, 1
5.413932458333334, 1, 0, 0, 1, 1, 1, 1, 1
5.413937125000000, 1, 1, 0, 1, 1, 1, 1, 1
5.413941708333334, 1, 1, 1, 1, 1, 1, 1, 1
5.413947541666667, 1, 0, 1, 1, 1, 1, 1, 1
5.413952583333334, 1, 0, 0, 1, 1, 1, 1, 1
5.413953500000001, 1, 1, 0, 1, 1, 1, 1, 1
5.413959291666667, 1, 1, 1, 1, 1, 1, 1, 1
