Time[s], Channel 0, Channel 1, Channel 2, Channel 3, Channel 4, Channel 5, Channel 6, Channel 7
0.000000000000000, 1, 1, 1, 1, 1, 1, 1, 1
1.869478291666667, 1, 0, 1, 1, 1, 1, 1, 1
1.869483791666667, 1, 0, 0, 1, 1, 1, 1, 1
1.869489291666667, 1, 0, 1, 1, 1, 1, 1, 1
1.869494708333334, 1, 1, 1, 1, 1, 1, 1, 1
1.874820541666667, 1, 0, 1, 1, 1, 1, 1, 1
1.874825541666667, 1, 0, 0, 1, 1, 1, 1, 1
1.874830416666667, 1, 1, 0, 1, 1, 1, 1, 1
1.874832041666667, 1, 1, 1, 1, 1, 1, 1, 1
1.874836916666667, 1, 1, 0, 1, 1, 1, 1, 1
1.874837416666667, 1, 0, 0, 1, 1, 1, 1, 1
1.874842083333333, 1, 0, 1, 1, 1, 1, 1, 1
1.874846958333333, 1, 0, 0, 1, 1, 1, 1, 1
1.874847583333333, 1, 1, 0, 1, 1, 1, 1, 1
1.874852125000000, 1, 1, 1, 1, 1, 1, 1, 1
1.874857000000000, 1, 1, 0, 1, 1, 1, 1, 1
1.874862208333334, 1, 1, 1, 1, 1, 1, 1, 1
1.874867083333333, 1, 1, 0, 1, 1, 1, 1, 1
1.874867583333333, 1, 0, 0, 1, 1, 1, 1, 1
1.874872250000000, 1, 0, 1, 1, 1, 1, 1, 1
1.874877125000000, 1, 0, 0, 1, 1, 1, 1, 1
1.874877708333333, 1, 1, 0, 1, 1, 1, 1, 1
1.874882291666667, 1, 1, 1, 1, 1, 1, 1, 1
1.874887166666667, 1, 1, 0, 1, 1, 1, 1, 1
1.874887666666667, 1, 0, 0, 1, 1, 1, 1, 1
1.874892333333333, 1, 0, 1, 1, 1, 1, 1, 1
1.874897208333334, 1, 0, 0, 1, 1, 1, 1, 1
1.874902375000000, 1, 0, 1, 1, 1, 1, 1, 1
1.874907250000000, 1, 0, 0, 1, 1, 1, 1, 1
1.874907875000000, 1, 1, 0, 1, 1, 1, 1, 1
1.874910208333334, 1, 0, 0, 1, 1, 1, 1, 1
1.874912458333333, 1, 0, 1, 1, 1, 1, 1, 1
1.874917291666667, 1, 0, 0, 1, 1, 1, 1, 1
1.874918958333333, 1, 1, 0, 1, 1, 1, 1, 1
1.874928291666667, 1, 0, 0, 1, 1, 1, 1, 1
1.874930041666667, 1, 0, 1, 1, 1, 1, 1, 1
1.874934875000000, 1, 0, 0, 1, 1, 1, 1, 1
1.874940083333333, 1, 0, 1, 1, 1, 1, 1, 1
1.874944916666667, 1, 0, 0, 1, 1, 1, 1, 1
1.874950125000000, 1, 0, 1, 1, 1, 1, 1, 1
1.874955000000000, 1, 0, 0, 1, 1, 1, 1, 1
1.874960166666667, 1, 0, 1, 1, 1, 1, 1, 1
1.874965041666667, 1, 0, 0, 1, 1, 1, 1, 1
1.874970208333333, 1, 0, 1, 1, 1, 1, 1, 1
1.874975083333333, 1, 0, 0, 1, 1, 1, 1, 1
1.874975666666667, 1, 1, 0, 1, 1, 1, 1, 1
1.874980250000000, 1, 1, 1, 1, 1, 1, 1, 1
1.874985125000000, 1, 1, 0, 1, 1, 1, 1, 1
1.874990291666667, 1, 1, 1, 1, 1, 1, 1, 1
1.874995125000000, 1, 1, 0, 1, 1, 1, 1, 1
1.875000333333333, 1, 1, 1, 1, 1, 1, 1, 1
1.875005166666667, 1, 1, 0, 1, 1, 1, 1, 1
1.875007416666667, 1, 0, 0, 1, 1, 1, 1, 1
1.875010416666667, 1, 0, 1, 1, 1, 1, 1, 1
1.875015250000000, 1, 0, 0, 1, 1, 1, 1, 1
